,Name,Lattitude,Longitude,Address
0,Hilton Chicago O'Hare Airport,41.97741895,-87.9038558740625,"O'Hare Commercial Arrivals, Chicago, IL 60666, United States of America"
1,Best Western O'Hare,41.99917605,-87.88604341424846,"10300 West Higgins Road, Rosemont, IL 60018, United States of America"
2,Sheraton Suites Chicago O'Hare,41.997254299999994,-87.88344978791234,"6501 Orchard Place, Rosemont, IL 60018, United States of America"
3,Sonesta Chicago O'Hare Airport Rosemont,41.997014750000005,-87.8820421682725,"10233 West Higgins Road, Rosemont, IL 60018, United States of America"
4,staybridge suites,41.9995601,-87.88546220218431,"6600 Mannheim Road, Rosemont, IL 60018, United States of America"
5,Holiday Inn Express & Suites Chicago O'Hare Airport,41.999275499999996,-87.88280324048029,"3001 Mannheim Road, Des Plaines, IL 60018, United States of America"
6,Hyatt Place Chicago/O'Hare Airport,42.00250575,-87.88528512518094,"6810 Mannheim Road, Rosemont, IL 60018, United States of America"
7,la quinta,42.0028395,-87.8863639,"6810 Mannheim Road, Rosemont, IL 60018, United States of America"
8,"The Rose Hotel Chicago O’Hare, Tapestry Collection by Hilton",41.97421855,-87.87061587289139,"5200 Pearl Street, Rosemont, IL 60018, United States of America"
9,Extended Stay America,42.0080522,-87.89323672324355,"Lunt Avenue, Des Plaines, IL 60018, United States of America"
10,"Extended Stay America - Chicago - O'Hare - Allstate Arena, IL",42.00809495,-87.89327715235257,"1207 East Touhy Avenue, Des Plaines, IL 60018, United States of America"
11,"Extended Stay America - Chicago - O'Hare, IL",42.00890325,-87.89327490257222,"1201 East Touhy Avenue, Des Plaines, IL 60018, United States of America"
12,Aloft Chicago O'Hare,41.977217249999995,-87.86765744889712,"9700 Balmoral Avenue, Rosemont, IL 60018, United States of America"
13,Residence Inn by Marriott Chicago O'Hare,42.008130699999995,-87.88873242989763,"7101 Chestnut Street, Rosemont, IL 60018, United States of America"
14,Four Points by Sheraton Chicago O'Hare Airport,41.95543975,-87.88266851034763,"10249 Irving Park Road, Schiller Park, IL 60176, United States of America"
15,"Crowne Plaza Chicago Ohare Hotel & Conf Ctr, an IHG Hotel",41.9775601,-87.86422925817592,"5440 North River Road, Rosemont, IL 60018, United States of America"
16,Candlewood Suites Chicago O'Hare,41.952243100000004,-87.88457029825385,"4021 North Mannheim Road, Schiller Park, IL 60176, United States of America"
17,Hilton Rosemont/Chicago O'Hare,41.97990765,-87.86341784934692,"5550 North River Road, Rosemont, IL 60018, United States of America"
18,Wyndham Chicago O'Hare,42.010457,-87.8869550186954,"1450 East Touhy Avenue, Des Plaines, IL 60018, United States of America"
19,DoubleTree by Hilton Hotel Chicago O'Hare Airport - Rosemont,41.9783268,-87.8633303773713,"5460 North River Road, Rosemont, IL 60018, United States of America"
20,Embassy Suites by Hilton Chicago O'Hare Rosemont,41.97911555,-87.86322085904523,"5500 North River Road, Rosemont, IL 60018, United States of America"
21,Loews Chicago O'Hare Hotel,41.97439645,-87.86365429710366,"5300 North River Road, Rosemont, IL 60018, United States of America"
22,"avid hotel Chicago O’hare – Des Plaines, an IHG Hotel",42.0092693,-87.88441334266409,"1551 East Touhy Avenue, Des Plaines, IL 60018, United States of America"
23,Fairfield Inn & Suites by Marriott Chicago O'Hare,42.010860300000004,-87.8872202019871,"2350 Mannheim Road, Des Plaines, IL 60018, United States of America"
24,Hampton Inn Chicago-O'Hare International Airport,41.94986555,-87.88505052825298,"3939 North Mannheim Road, Schiller Park, IL 60176, United States of America"
25,Hyatt Regency O'Hare Chicago,41.9813446,-87.85892682429541,"9300 Bryn Mawr Avenue, Rosemont, IL 60018, United States of America"
26,The Westin O'Hare,41.988779,-87.86159115396086,"6100 North River Road, Rosemont, IL 60018, United States of America"
27,Hampton Inn & Suites Rosemont Chicago O’Hare,41.99271445,-87.86238707169235,"9480 West Higgins Road, Rosemont, IL 60018, United States of America"
28,Quality Inn O'Hare Airport,41.9476187,-87.88477226247717,"3801 North Mannheim Road, Schiller Park, IL 60176, United States of America"
29,Hyatt Rosemont,41.9953871,-87.86221006374296,"6350 North River Road, Rosemont, IL 60018, United States of America"
30,Courtyard Chicago O'Hare,41.99993055,-87.86464759331807,"2950 Rivers Way, Des Plaines, IL 60018, United States of America"
31,Quality Inn O'Hare Airport,41.9468394,-87.88494585337448,"3801 North Mannheim Road, Schiller Park, IL 60176, United States of America"
32,Chicago Marriott Suites O'Hare,41.9884701,-87.85890222352099,"6155 North River Road, Rosemont, IL 60018, United States of America"
33,Hilton Garden Inn Chicago O'Hare Airport,42.0009393,-87.86465141298223,"2930 Des Plaines River Road, Des Plaines, IL 60018, United States of America"
34,InTown Suites Extended Stay Chicago IL - Elk Grove,42.0103669,-87.94294091244083,"East Higgins Road, Elk Grove Village, IL 60124, United States of America"
35,Wyndham Garden Elk Grove Village/O'Hare,42.0128344,-87.94132016020916,"2550 Landmeier Road, Elk Grove Village, IL 60007, United States of America"
36,Wyndham,42.0127603,-87.9414459,"2550 Landmeier Road, Elk Grove Village, IL 60007, United States of America"
37,Comfort Inn O'Hare,42.00959675,-87.87076024293702,"2157 East Touhy Avenue, Des Plaines, IL 60018, United States of America"
38,Comfort Suites Chicago O'Hare Airport,41.9555453,-87.8599702,"4200 Des Plaines River Road, Schiller Park, IL 60176, United States of America"
39,Holiday Inn Chicago-Elk Grove,42.01041415,-87.96110323249948,"Busse Road, Elk Grove Village, IL 60124, United States of America"
40,Holiday Inn Chicago-Elk Grove,42.01073235,-87.96063675113022,"Landmeier Road, Elk Grove Village, IL 60007, United States of America"
41,Country Inn & Suites,41.931964,-87.92517168308757,"777 East Grand Avenue, Bensenville, IL 60106, United States of America"
42,Chicago Marriott O'Hare,41.985298799999995,-87.84135612384479,"8535 West Higgins Road, Chicago, IL 60631, United States of America"
43,Holiday Inn Express & Suites Bensenville - O'Hare,41.93170485,-87.92458201990745,"811 East Grand Avenue, Bensenville, IL 60106, United States of America"
44,Best Western Plus Chicago O'Hare South,41.933208050000005,-87.88438025921235,"North Mannheim Road, Franklin Park, IL 60131, United States of America"
45,Renaissance Chicago O'Hare Suites,41.9831406,-87.84093619945253,"8500 West Bryn Mawr Avenue, Chicago, IL 60631, United States of America"
46,Four Points by Sheraton,42.02519035,-87.94148995315919,"2200 South Elmhurst Road, Mount Prospect, IL 60056, United States of America"
47,Best Western Des Plaines,42.0306363,-87.89364155000001,"Lee Street, Des Plaines, IL 60016, United States of America"
48,Howard Johnson,42.02055775,-87.95723566679135,"1925 East Higgins Road, Elk Grove Village, IL 60007, United States of America"
