,index,time,tavg_cel,tmin,tmax,prcp,snow,wdir,wspd_km,wpgt,pres,tsun,tvag_farh,wspd_miles,tavg_cel,wspd_km,tvag_farh,wspd_miles,tavg,wspd
0,0,2022-07-01,25.8,19.4,27.8,0.0,0.0,52.0,10.8,,1013.6,,78.44,6.71,78.44,6.71,78.44,6.71,78.44,6.71
1,1,2022-07-02,23.7,18.3,30.6,0.0,0.0,27.0,10.4,,1016.7,,74.66,6.46,74.66,6.46,74.66,6.46,74.66,6.46
2,2,2022-07-03,25.9,20.0,31.1,0.0,0.0,68.0,10.1,,1019.0,,78.62,6.28,78.62,6.28,78.62,6.28,78.62,6.28
3,3,2022-07-04,25.6,20.6,30.6,17.5,0.0,173.0,16.2,,1015.7,,78.08,10.07,78.08,10.07,78.08,10.07,78.08,10.07
4,4,2022-07-05,27.4,20.6,34.4,13.2,0.0,300.0,15.1,,1010.9,,81.32,9.38,81.32,9.38,81.32,9.38,81.32,9.38
5,5,2022-07-06,23.3,20.0,26.7,8.9,0.0,39.0,16.9,,1014.0,,73.94,10.5,73.94,10.5,73.94,10.5,73.94,10.5
6,6,2022-07-07,24.1,20.0,30.0,0.0,0.0,80.0,11.2,,1015.5,,75.38,6.96,75.38,6.96,75.38,6.96,75.38,6.96
7,7,2022-07-08,23.9,19.4,25.0,0.0,0.0,49.0,18.4,,1016.1,,75.02,11.43,75.02,11.43,75.02,11.43,75.02,11.43
8,8,2022-07-09,21.7,17.2,24.4,0.0,0.0,40.0,18.4,,1020.8,,71.06,11.43,71.06,11.43,71.06,11.43,71.06,11.43
9,9,2022-07-10,22.3,15.0,30.0,0.0,0.0,282.0,9.0,,1017.3,,72.14,5.59,72.14,5.59,72.14,5.59,72.14,5.59
10,10,2022-07-11,24.9,21.7,29.4,0.3,0.0,235.0,18.0,,1008.4,,76.82,11.18,76.82,11.18,76.82,11.18,76.82,11.18
11,11,2022-07-12,25.1,20.0,30.0,0.0,0.0,290.0,17.3,,1010.4,,77.18,10.75,77.18,10.75,77.18,10.75,77.18,10.75
12,12,2022-07-13,24.1,17.8,26.7,0.0,0.0,331.0,16.9,,1014.9,,75.38,10.5,75.38,10.5,75.38,10.5,75.38,10.5
13,13,2022-07-14,21.4,16.1,26.7,0.0,0.0,24.0,12.2,,1020.1,,70.52,7.58,70.52,7.58,70.52,7.58,70.52,7.58
14,14,2022-07-15,20.4,18.9,22.2,20.8,0.0,136.0,8.3,,1018.7,,68.72,5.16,68.72,5.16,68.72,5.16,68.72,5.16
15,15,2022-07-16,21.4,19.4,23.9,0.0,0.0,43.0,16.9,,1014.9,,70.52,10.5,70.52,10.5,70.52,10.5,70.52,10.5
16,16,2022-07-17,22.1,20.6,25.0,0.5,0.0,25.0,15.5,,1011.2,,71.78,9.63,71.78,9.63,71.78,9.63,71.78,9.63
17,17,2022-07-18,24.9,20.0,31.7,0.0,0.0,298.0,9.4,,1011.6,,76.82,5.84,76.82,5.84,76.82,5.84,76.82,5.84
18,18,2022-07-19,27.0,21.7,32.2,0.0,0.0,217.0,18.0,,1009.5,,80.6,11.18,80.6,11.18,80.6,11.18,80.6,11.18
19,19,2022-07-20,27.7,24.4,30.6,0.0,0.0,248.0,23.4,,1003.1,,81.86,14.54,81.86,14.54,81.86,14.54,81.86,14.54
20,20,2022-07-21,26.9,20.6,33.3,0.0,0.0,270.0,17.3,,1007.4,,80.42,10.75,80.42,10.75,80.42,10.75,80.42,10.75
21,21,2022-07-22,27.1,20.6,32.8,0.0,0.0,249.0,11.9,,1012.9,,80.78,7.39,80.78,7.39,80.78,7.39,80.78,7.39
22,22,2022-07-23,25.7,20.0,30.0,45.0,0.0,177.0,19.8,,1012.5,,78.26,12.3,78.26,12.3,78.26,12.3,78.26,12.3
23,23,2022-07-24,26.6,21.7,30.0,8.1,0.0,253.0,18.7,,1010.3,,79.88,11.62,79.88,11.62,79.88,11.62,79.88,11.62
24,24,2022-07-25,22.8,17.8,24.4,0.0,0.0,51.0,11.2,,1016.4,,73.04,6.96,73.04,6.96,73.04,6.96,73.04,6.96
25,25,2022-07-26,22.2,17.8,27.8,0.0,0.0,144.0,7.9,,1014.8,,71.96,4.91,71.96,4.91,71.96,4.91,71.96,4.91
26,26,2022-07-27,23.9,21.1,28.3,0.0,0.0,257.0,13.0,,1010.9,,75.02,8.08,75.02,8.08,75.02,8.08,75.02,8.08
27,27,2022-07-28,23.8,19.4,26.7,0.0,0.0,273.0,14.8,,1012.1,,74.84,9.2,74.84,9.2,74.84,9.2,74.84,9.2
28,28,2022-07-29,22.1,16.7,27.2,0.0,0.0,289.0,12.2,,1016.5,,71.78,7.58,71.78,7.58,71.78,7.58,71.78,7.58
29,29,2022-07-30,23.1,17.2,28.3,0.0,0.0,265.0,6.1,,1020.8,,73.58,3.79,73.58,3.79,73.58,3.79,73.58,3.79
30,30,2022-07-31,24.4,18.9,29.4,0.0,0.0,212.0,11.2,,1016.8,,75.92,6.96,75.92,6.96,75.92,6.96,75.92,6.96
31,31,2022-08-01,25.8,22.2,29.4,0.0,0.0,260.0,16.9,,1010.3,,78.44,10.5,78.44,10.5,78.44,10.5,78.44,10.5
32,32,2022-08-02,25.7,20.0,32.2,0.0,0.0,208.0,13.3,,1012.7,,78.26,8.26,78.26,8.26,78.26,8.26,78.26,8.26
33,33,2022-08-03,27.4,23.9,32.8,0.0,0.0,217.0,20.2,,1009.1,,81.32,12.55,81.32,12.55,81.32,12.55,81.32,12.55
34,34,2022-08-04,25.4,20.6,28.3,0.0,0.0,12.0,14.0,,1014.6,,77.72,8.7,77.72,8.7,77.72,8.7,77.72,8.7
35,35,2022-08-05,24.8,19.4,31.1,0.0,0.0,65.0,10.8,,1017.6,,76.64,6.71,76.64,6.71,76.64,6.71,76.64,6.71
36,36,2022-08-06,28.2,23.3,35.0,0.0,0.0,210.0,13.0,,1016.9,,82.76,8.08,82.76,8.08,82.76,8.08,82.76,8.08
37,37,2022-08-07,26.6,23.9,28.3,5.1,0.0,224.0,9.4,,1016.4,,79.88,5.84,79.88,5.84,79.88,5.84,79.88,5.84
